Name,Degree,Location,City,Consult Fee,Years of Experience,Speciality,Availability,Doctor
Dr. Vinay Sakhuja,"MBBS, MD - Medicine, DM - Nephrology",Phase-VI,Mohali,â‚¹1200,44,Nephrologist/Renal Specialist,05:00-07:00,Allergist
Dr. Gaurav Saini,"MBBS, MS - Orthopaedics",Phase-VI,Mohali,â‚¹1100,18,Orthopedic surgeon,05:00-07:01,Allergist
Dr. Munish Chauhan,"MBBS, MD - General Medicine, DM - Nephrology",Phase-VI,Mohali,â‚¹1200,21,Nephrologist/Renal Specialist,05:00-07:02,Cardiologist
Dr. Jasmeet Singh,"MBBS, DNB - General Medicine",Sector- 68,Mohali,â‚¹500,22,"Internal Medicine, General Physician, Consultant Physician",05:00-07:03,Cardiologist
Dr. Shikha Verma,"DNB - Dermatology & Venereology, MD - Dermatology , Venereology & Leprosy, MBBS",Sector- 69,Mohali,â‚¹600,28,"Dermatologist, Venereologist, Aesthetic Dermatologist",05:00-07:04,Dermatologist
Dr. Ruchi Bansal,"MBBS, MS - Obstetrics & Gynaecology",Phase 10,Mohali,â‚¹400,13,"Gynecologist, Obstetrician",05:00-07:05,Dermatologist
Dr. R S Rai,"MBBS, MS - General Surgery, MCh - Urology",Phase-VI,Mohali,â‚¹1000,38,"Sexologist, Urologist",05:00-07:06,Dermatologist
Dr. Anshu Syed,"MBBS, DNB - Obstetrics & Gynecology",SAS Nagar,Mohali,â‚¹500,18,"Gynecologist, Obstetrician",05:00-07:07,Dermatologist
Dr. Mukesh Vats,"MBBS, MS - Ophthalmology",Phase 8,Mohali,â‚¹1100,25,Ophthalmologist/ Eye Surgeon,05:00-07:08,Dermatologist
Dr. Pooja Modgil,BAMS,Kharar,Mohali,â‚¹500,24,AYUSHAyurveda,05:00-07:09,Endocrinologist
Dr. Akhil Gupta,"BDS, MDS - Conservative Dentistry & Endodontics",Sector- 69,Mohali,â‚¹300,13,"Endodontist, Cosmetic/Aesthetic Dentist",05:00-07:10,Endocrinologist
Dr. Manisha.Malviya   (Physiotherapist),MPTh/MPT - Paediatric Physiotherapy,Sector-53,Mohali,â‚¹500,7,TherapistPediatric Physiotherapist,05:00-07:11,Endocrinologist
